Player,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SR Tendulkar,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,656.0,1360.0,1679.0,2768.0,3212.0,4823.0,5834.0,7728.0,8571.0,9899.0,10803.0,11544.0,12685.0,13497.0,13909.0,14537.0,15962.0,16422.0,17394.0,17598.0,18111.0,18426.0,18426.0,18426.0,18426.0,18426.0,18426.0,18426.0,18426.0
KC Sangakkara,Asia/ICC/SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,646.0,1475.0,2170.0,3180.0,3926.0,5259.0,6017.0,6959.0,7878.0,8604.0,9731.0,10915.0,12116.0,13372.0,14234.0,14234.0,14234.0,14234.0,14234.0
RT Ponting,AUS/ICC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,929.0,1004.0,2170.0,3208.0,3718.0,4546.0,5428.0,6582.0,7422.0,8613.0,9411.0,10835.0,11113.0,12311.0,13082.0,13686.0,13704.0,13704.0,13704.0,13704.0,13704.0,13704.0,13704.0,13704.0
ST Jayasuriya,Asia/SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,99.0,109.0,252.0,599.0,1161.0,1655.0,2610.0,3788.0,4449.0,5123.0,6033.0,7235.0,8312.0,9172.0,9896.0,10219.0,11372.0,12207.0,12785.0,13428.0,13428.0,13430.0,13430.0,13430.0,13430.0,13430.0,13430.0,13430.0,13430.0,13430.0
DPMD Jayawardene,Asia/SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,842.0,1396.0,2656.0,3447.0,3760.0,4436.0,4958.0,6143.0,7232.0,7849.0,8518.0,9027.0,10059.0,10844.0,11401.0,12247.0,12650.0,12650.0,12650.0,12650.0,12650.0
Inzamam-ul-Haq,Asia/PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,898.0,1706.0,2607.0,3306.0,3809.0,4700.0,5369.0,6475.0,7549.0,8195.0,8938.0,9356.0,10267.0,11141.0,11591.0,11739.0,11739.0,11739.0,11739.0,11739.0,11739.0,11739.0,11739.0,11739.0,11739.0,11739.0,11739.0,11739.0
JH Kallis,Afr/ICC/SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,794.0,1606.0,2550.0,3850.0,4698.0,5902.0,6497.0,7267.0,7954.0,8327.0,9314.0,9871.0,10409.0,11002.0,11372.0,11498.0,11574.0,11579.0,11579.0,11579.0,11579.0,11579.0,11579.0
SC Ganguly,Asia/INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,272.0,1610.0,2938.0,4705.0,6284.0,7097.0,8211.0,8967.0,9914.0,10123.0,10123.0,11363.0,11363.0,11363.0,11363.0,11363.0,11363.0,11363.0,11363.0,11363.0,11363.0,11363.0,11363.0,11363.0
R Dravid,Asia/ICC/INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,1426.0,1709.0,3470.0,4450.0,5190.0,6103.0,6726.0,7751.0,8843.0,9762.0,10585.0,10585.0,10765.0,10765.0,10889.0,10889.0,10889.0,10889.0,10889.0,10889.0,10889.0,10889.0,10889.0
V Kohli,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,484.0,1479.0,2860.0,3886.0,5154.0,6208.0,6831.0,7570.0,9030.0,10232.0,10843.0
